,date,co2,co,pm,uv,temperature,humidity
2022-01-16 18:37:37,2022-01-16 18:37:37,1014.8538183333334,7.94381,0.03139666666666666,3.7200415254237287,32.61864406779661,57.95338983050848
2022-01-16 18:42:56,2022-01-16 18:42:56,1014.8538183333334,7.94381,0.03139666666666666,3.715903559322034,32.610169491525426,57.97457627118644
2022-01-16 18:48:15,2022-01-16 18:48:15,1014.8538183333334,7.94381,0.03139666666666666,3.711765593220339,32.601694915254235,57.99576271186441
2022-01-16 18:53:34,2022-01-16 18:53:34,1014.8538183333334,7.94381,0.03139666666666666,3.707627627118644,32.59322033898305,58.016949152542374
2022-01-16 18:58:53,2022-01-16 18:58:53,1014.8538183333334,7.94381,0.03139666666666666,3.703489661016949,32.58474576271186,58.03813559322034
2022-01-16 19:04:12,2022-01-16 19:04:12,1014.8538183333335,7.94381,0.03139666666666666,3.6993516949152543,32.57627118644068,58.059322033898304
2022-01-16 19:09:31,2022-01-16 19:09:31,1014.8538183333334,7.94381,0.03139666666666666,3.695213728813559,32.567796610169495,58.08050847457627
2022-01-16 19:14:50,2022-01-16 19:14:50,1014.8538183333334,7.94381,0.03139666666666666,3.6910757627118644,32.559322033898304,58.101694915254235
2022-01-16 19:20:09,2022-01-16 19:20:09,1014.8538183333335,7.94381,0.03139666666666666,3.6869377966101693,32.55084745762712,58.1228813559322
2022-01-16 19:25:28,2022-01-16 19:25:28,1014.8538183333334,7.94381,0.03139666666666666,3.6827998305084746,32.54237288135593,58.14406779661017
2022-01-16 19:30:47,2022-01-16 19:30:47,1014.8538183333334,7.94381,0.03139666666666666,3.6786618644067794,32.53389830508475,58.16525423728814
2022-01-16 19:36:06,2022-01-16 19:36:06,1014.8538183333334,7.94381,0.03139666666666666,3.6745238983050847,32.52542372881356,58.186440677966104
2022-01-16 19:41:25,2022-01-16 19:41:25,1014.8538183333334,7.94381,0.03139666666666666,3.6703859322033896,32.516949152542374,58.20762711864407
2022-01-16 19:46:44,2022-01-16 19:46:44,1014.8538183333334,7.94381,0.03139666666666666,3.666247966101695,32.50847457627118,58.228813559322035
2022-01-16 19:52:03,2022-01-16 19:52:03,1014.8538183333334,7.94381,0.03139666666666666,3.66211,32.5,58.25
2022-01-16 19:57:22,2022-01-16 19:57:22,1014.8538183333334,7.94381,0.03139666666666666,3.657972033898305,32.49152542372882,58.271186440677965
2022-01-16 20:02:41,2022-01-16 20:02:41,1014.8538183333334,7.94381,0.03139666666666666,3.6538340677966104,32.483050847457626,58.29237288135593
2022-01-16 20:08:00,2022-01-16 20:08:00,1014.8538183333334,7.94381,0.03139666666666666,3.649696101694915,32.47457627118644,58.313559322033896
